ward,target
21202010: Ward 10,36.843086736888814
21202011: Ward 11,33.884679123217914
21202012: Ward 12,36.15636369698563
21202013: Ward 13,34.068358312412336
21202014: Ward 14,36.07962968515699
21202015: Ward 15,36.56542545601023
21202016: Ward 16,32.33526734429983
21202017: Ward 17,36.22891228267624
21202018: Ward 18,33.60536377272895
21202019: Ward 19,36.38670101656456
21202020: Ward 20,36.21719343467122
21202021: Ward 21,36.388244885080205
21202022: Ward 22,38.23870177320304
21202023: Ward 23,38.37930337775781
21202024: Ward 24,38.24086862704823
21202025: Ward 25,39.61087897464982
21202026: Ward 26,37.27416443975159
21202027: Ward 27,35.402800658148976
21202028: Ward 28,35.008801652462054
21202029: Ward 29,34.10310203156853
21202030: Ward 30,32.47225624085555
21202031: Ward 31,36.45946938890048
21203001: Ward 1,19.763538497014796
21203002: Ward 2,33.920458768497056
21203003: Ward 3,32.445059104080066
21203004: Ward 4,32.02073594215066
21203005: Ward 5,24.798315378209114
21203006: Ward 6,17.177469420740735
21203007: Ward 7,21.98924371715871
21204001: Ward 1,32.30200108909175
21204002: Ward 2,27.174839050920294
21204003: Ward 3,35.7234087048538
21204004: Ward 4,22.897970106879992
21204005: Ward 5,27.108715634760475
21204006: Ward 6,22.024412215477682
21204007: Ward 7,34.33559806644556
21204008: Ward 8,34.87124610217989
21204009: Ward 9,26.924535119836193
21204010: Ward 10,31.153841345754245
21204011: Ward 11,33.19256168616428
21204012: Ward 12,35.31258788744444
21204013: Ward 13,29.934363241517932
21204014: Ward 14,27.00781050324645
21204015: Ward 15,31.005717655034932
21206001: Ward 1,31.488501005171084
21206002: Ward 2,30.949553654569893
21206003: Ward 3,32.42660517026836
21206004: Ward 4,32.83991609952009
21206005: Ward 5,32.65691020336818
21206006: Ward 6,31.089291515473498
21206007: Ward 7,26.07426770925914
21206008: Ward 8,30.76137842415836
21206009: Ward 9,31.60086971890104
21206010: Ward 10,23.681008957903362
21206011: Ward 11,27.860720179626135
21206012: Ward 12,29.05493324512976
21301001: Ward 1,25.082975595804193
21301002: Ward 2,23.08802349480181
21301003: Ward 3,24.267778305790742
21301004: Ward 4,19.267790509227183
21301005: Ward 5,9.085444959566615
21301006: Ward 6,17.61810477084842
21301007: Ward 7,21.468748899159745
21301008: Ward 8,18.39558334363397
21301009: Ward 9,19.418019936956888
21305001: Ward 1,37.14304233744797
21305002: Ward 2,33.40814522415045
21305003: Ward 3,36.788364887747434
21305004: Ward 4,32.41478473634952
21305005: Ward 5,39.42592724750834
21305006: Ward 6,35.10151882608423
21305007: Ward 7,37.10974802833445
21305008: Ward 8,30.076294587316166
21305009: Ward 9,36.887892466060805
21305010: Ward 10,34.62971221467071
21305011: Ward 11,42.79720051751186
21305012: Ward 12,36.53265684051467
21305013: Ward 13,35.740692917784166
21305014: Ward 14,25.89962613302893
21305015: Ward 15,29.854029282215652
21305016: Ward 16,38.1080505034696
21305017: Ward 17,33.574965401357176
21305018: Ward 18,38.92174488945106
21305019: Ward 19,35.922333794685194
21305020: Ward 20,37.55127931583149
21305021: Ward 21,38.153983318505865
21306001: Ward 1,35.040124374463694
21306002: Ward 2,36.81374694160047
21306003: Ward 3,34.731154153914176
21306004: Ward 4,30.41119272074906
21306005: Ward 5,35.621826692010636
21306006: Ward 6,34.90323004684362
21306007: Ward 7,36.656576761461494
21306008: Ward 8,36.12370313087109
21306009: Ward 9,38.830649131558786
21306010: Ward 10,37.452931823113175
21306011: Ward 11,28.93847959137121
21306012: Ward 12,36.85721052690622
21306013: Ward 13,34.77618532685424
21306014: Ward 14,25.374115750310008
21306015: Ward 15,28.896538316478118
21306016: Ward 16,27.606631508572857
21306017: Ward 17,36.81010543497069
21307001: Ward 1,41.742367022847006
21307002: Ward 2,41.512087174732294
21307003: Ward 3,37.42229444589928
21307004: Ward 4,39.05408212017968
21307005: Ward 5,38.22964089594466
21307006: Ward 6,38.78070435995423
21307007: Ward 7,39.523444025924924
21307008: Ward 8,36.20482222955568
21307009: Ward 9,35.274866656825914
21307010: Ward 10,29.705588870808977
21307011: Ward 11,26.912893209942283
21307012: Ward 12,39.42812199594112
21307013: Ward 13,42.39309456130169
21307014: Ward 14,38.105854872474076
21307015: Ward 15,38.61032191046513
21307016: Ward 16,40.548439496283535
21307017: Ward 17,35.92298077879583
21307018: Ward 18,37.45051374752271
21307019: Ward 19,39.18248212434336
21307020: Ward 20,39.416769498329195
21308001: Ward 1,18.799959095484045
21308002: Ward 2,29.471302156562068
21308003: Ward 3,34.021415346304046
21308004: Ward 4,24.786692603420526
21308005: Ward 5,29.96306456763224
21308006: Ward 6,33.62110745652701
21308007: Ward 7,35.94938725302564
21308008: Ward 8,35.70136280978116
21308009: Ward 9,37.0324823263014
21401001: Ward 1,33.37383256610099
21401002: Ward 2,28.43982036819709
21401003: Ward 3,25.30337498532687
21401004: Ward 4,21.88859831511183
21401005: Ward 5,30.93934081128057
21401006: Ward 6,36.344223526516394
21401007: Ward 7,37.3465000598318
21401008: Ward 8,39.709133603152644
21401009: Ward 9,34.060626489419654
21401010: Ward 10,37.884114781415875
21401011: Ward 11,35.86552390652775
21401012: Ward 12,37.18235352737073
21401013: Ward 13,41.29953477984581
21401014: Ward 14,39.10183751446315
21401015: Ward 15,39.75784827865035
21401016: Ward 16,33.74520306466268
21401017: Ward 17,24.89952240424404
21402001: Ward 1,36.35014691303862
21402002: Ward 2,36.728088774747334
21402003: Ward 3,34.94673855281384
21402004: Ward 4,36.08640065265697
21402005: Ward 5,36.871335812686375
21402006: Ward 6,36.85734999080939
21402007: Ward 7,34.67615441960061
21402008: Ward 8,29.58875190121207
21402009: Ward 9,33.6454475512107
21402010: Ward 10,28.25768687114209
21402011: Ward 11,33.226971790437304
21402012: Ward 12,32.20464501703148
21402013: Ward 13,36.139261908975506
21402014: Ward 14,25.69601281709867
21402015: Ward 15,23.964628789431313
21402016: Ward 16,21.272583145605022
21402017: Ward 17,35.420080085933954
21503001: Ward 1,36.732760641794
21503002: Ward 2,38.3256186692619
21503003: Ward 3,39.85046180443378
21503004: Ward 4,38.93501362628219
21503005: Ward 5,38.38686057525856
21503006: Ward 6,32.439539622377865
21503007: Ward 7,38.13910460800189
21503008: Ward 8,38.87655267219753
21503009: Ward 9,35.92719943070109
21503010: Ward 10,39.97584032898278
21503011: Ward 11,37.661228124784714
21503012: Ward 12,41.02174592482136
21503013: Ward 13,37.40489735455613
21503014: Ward 14,31.480627246339584
21503015: Ward 15,23.821539472978937
21503016: Ward 16,37.15171037067551
21503017: Ward 17,36.017448978764016
21503018: Ward 18,39.63253872944653
21503019: Ward 19,30.999706603473303
21503020: Ward 20,36.565509762606744
21503021: Ward 21,33.90062593261946
21503022: Ward 22,35.77264707252847
21503023: Ward 23,38.027681498320895
21503024: Ward 24,36.550557646922684
21503025: Ward 25,40.390741777354194
21503026: Ward 26,37.03185583990142
21503027: Ward 27,38.01166617997591
21503028: Ward 28,38.306556468957766
21503029: Ward 29,37.455226829916185
21503030: Ward 30,40.944454344162764
21503031: Ward 31,37.976797806468795
21504001: Ward 1,37.913442160750606
21504002: Ward 2,37.92965854351774
21504003: Ward 3,38.696663728272135
21504004: Ward 4,38.51977098378128
21504005: Ward 5,34.92431358247568
21504006: Ward 6,25.883140971982954
21504007: Ward 7,40.89341622029134
21504008: Ward 8,39.765463207697955
21504009: Ward 9,36.92313329729431
21504010: Ward 10,37.913928818374515
21504011: Ward 11,40.6526923162479
21504012: Ward 12,38.097936753186126
21504013: Ward 13,38.85133181531924
21504014: Ward 14,39.61992812506652
21504015: Ward 15,31.95319617505367
21504016: Ward 16,38.68635107671597
21504017: Ward 17,36.6122001962342
21504018: Ward 18,39.11034133092715
21504019: Ward 19,39.45581629038614
21504020: Ward 20,39.33546355321599
21505001: Ward 1,39.822102891854044
21505002: Ward 2,39.53618780275387
21505003: Ward 3,40.04662801829291
21505004: Ward 4,41.251572808559104
21505005: Ward 5,43.367388374025815
21505006: Ward 6,41.818869733176676
21505007: Ward 7,29.847394885043705
21505008: Ward 8,38.80640649062213
21505009: Ward 9,33.991407444289095
21505010: Ward 10,33.79940425832422
21505011: Ward 11,31.112049464316836
21505012: Ward 12,30.255315510391153
21505013: Ward 13,34.43572819026224
21505014: Ward 14,34.136250215725745
21505015: Ward 15,35.99485407482204
21505016: Ward 16,42.50080121453841
21505017: Ward 17,38.300616360262964
21505018: Ward 18,40.361519685138695
21505019: Ward 19,40.33722306894206
21505020: Ward 20,37.95262065516414
21505021: Ward 21,31.68997505132211
21505022: Ward 22,42.441040826372614
21505023: Ward 23,43.719086250581505
21505024: Ward 24,39.148238163839814
21505025: Ward 25,40.337029456698396
21505026: Ward 26,41.82175268455021
21505027: Ward 27,39.94457821598345
21505028: Ward 28,38.44766124592474
21505029: Ward 29,37.22816296766223
21505030: Ward 30,37.11513690988992
21505031: Ward 31,40.67052211101209
21506001: Ward 1,40.276354410827835
21506002: Ward 2,30.582107128215615
21506003: Ward 3,37.21416364418161
21506004: Ward 4,35.61766697079972
21506005: Ward 5,36.926376857320484
21506006: Ward 6,29.878186573811778
21506007: Ward 7,38.51914320767128
21506008: Ward 8,39.87961442223691
21506009: Ward 9,37.273478787044205
21506010: Ward 10,42.11207617203033
21506011: Ward 11,42.03062239732516
21506012: Ward 12,34.43862754275324
21506013: Ward 13,42.76636830996805
21506014: Ward 14,35.699389134839485
21506015: Ward 15,30.465293844949063
21506016: Ward 16,41.25612884403344
21506017: Ward 17,40.1144401840117
21506018: Ward 18,33.74406260796586
21506019: Ward 19,37.37612574073135
21506020: Ward 20,36.76989812299552
21506021: Ward 21,36.60414694267259
21506022: Ward 22,38.01938114583394
21506023: Ward 23,37.60523187070953
21506024: Ward 24,36.10953722233561
21506025: Ward 25,41.331929994655326
21506026: Ward 26,35.864254787211344
21507001: Ward 1,26.453298493198407
21507002: Ward 2,24.661726017237463
21507003: Ward 3,24.803193687107438
21507004: Ward 4,24.644492639284667
21507005: Ward 5,19.5702298228821
21507006: Ward 6,15.418404991177312
21507007: Ward 7,20.017846702354646
21507008: Ward 8,19.650396449800244
21507009: Ward 9,23.844814578479227
21507010: Ward 10,34.10325065137972
21507011: Ward 11,30.50103037524065
21507012: Ward 12,28.0727450618073
21507013: Ward 13,22.785545173148897
21507014: Ward 14,32.38198163057836
21507015: Ward 15,38.80585293378925
21507016: Ward 16,38.04193229478977
21507017: Ward 17,41.27722254900525
21507018: Ward 18,36.5659182772966
21507019: Ward 19,37.22164302875971
21507020: Ward 20,40.22710423052366
21507021: Ward 21,36.15167041026202
21507022: Ward 22,38.37576950919125
21507023: Ward 23,36.995823509082584
21507024: Ward 24,37.22836547093426
21507025: Ward 25,43.18669808261452
21507026: Ward 26,37.48688510521794
21507027: Ward 27,41.61435241937432
21507028: Ward 28,37.0479064299528
21507029: Ward 29,33.81731302944805
21507030: Ward 30,29.206915969277635
21507031: Ward 31,38.36043193299032
21507032: Ward 32,35.92578855597841
21507033: Ward 33,28.70768598253982
21507034: Ward 34,40.00165335555768
21507035: Ward 35,36.06184821851243
24401001: Ward 1,29.413254642082137
24401002: Ward 2,32.726213038706206
24401003: Ward 3,35.50336051260603
24401004: Ward 4,35.63062580003977
24401005: Ward 5,35.72539804407012
24401006: Ward 6,34.987465881242386
24401007: Ward 7,38.2799005970969
24401008: Ward 8,36.02560925002896
24401009: Ward 9,38.27461526569276
24401010: Ward 10,38.45950465350107
24401011: Ward 11,37.92774123201903
24401012: Ward 12,35.85600933379403
24401013: Ward 13,34.10709587259573
24401014: Ward 14,37.401442380880724
24401015: Ward 15,39.62743675430219
24401016: Ward 16,36.85022248042579
24401017: Ward 17,37.335913695122535
24401018: Ward 18,36.700213175798496
24401019: Ward 19,14.703237179158883
24401020: Ward 20,29.088321181458646
24401021: Ward 21,31.626484015799104
24401022: Ward 22,36.77355439655204
24401023: Ward 23,36.17894072489771
24401024: Ward 24,34.471401740879394
24401025: Ward 25,36.03823438919532
24401026: Ward 26,21.93131887616049
24402001: Ward 1,36.93531170705718
24402002: Ward 2,41.91742559135027
24402003: Ward 3,39.18534252580343
24402004: Ward 4,38.20547015709881
24402005: Ward 5,39.095597482545
24402006: Ward 6,38.577365030217045
24402007: Ward 7,29.37637358618537
24402008: Ward 8,36.86520489523466
24402009: Ward 9,35.39241672235925
24402010: Ward 10,43.33381977639145
24402011: Ward 11,39.623551457940344
24402012: Ward 12,40.694534301134105
24402013: Ward 13,39.47836560866618
24402014: Ward 14,39.18494471346597
24402015: Ward 15,36.49706225010332
24402016: Ward 16,31.071318255473475
24402017: Ward 17,32.87907016040024
24402018: Ward 18,25.116366577536635
24402019: Ward 19,37.08754865734286
24402020: Ward 20,36.76841107900711
24402021: Ward 21,38.53736697433184
24402022: Ward 22,32.48376922088346
24402023: Ward 23,39.570006503810475
24402024: Ward 24,40.2321357941367
24402025: Ward 25,36.67867007875572
24402026: Ward 26,40.49979994794736
24402027: Ward 27,31.488870109107996
24403001: Ward 1,30.015104876468087
24403002: Ward 2,41.47060798786246
24403003: Ward 3,34.86366255939011
24403004: Ward 4,39.10770888297358
24403005: Ward 5,39.42036265483344
24403006: Ward 6,38.33203680280608
24403007: Ward 7,35.8904639715876
24403008: Ward 8,35.818039174207264
24403009: Ward 9,40.04873786161548
24403010: Ward 10,36.20652288464758
24403011: Ward 11,40.940547962875144
24403012: Ward 12,38.54336272529616
24403013: Ward 13,33.85701411531875
24403014: Ward 14,39.07572166194244
24403015: Ward 15,37.98734216556192
24403016: Ward 16,40.827626288932066
24403017: Ward 17,36.391834277774656
24403018: Ward 18,34.32178043316234
24403019: Ward 19,35.16253770137617
24403020: Ward 20,38.21596978784819
24403021: Ward 21,37.51779578860697
24403022: Ward 22,36.17352725263159
24403023: Ward 23,33.67192213160065
24403024: Ward 24,25.816555328273854
24403025: Ward 25,40.3525069572523
24403026: Ward 26,37.46809479932992
24403027: Ward 27,39.35523691120771
24403028: Ward 28,35.76324699933641
24403029: Ward 29,33.17676163778913
24403030: Ward 30,35.67551941642113
24403031: Ward 31,39.105430066601194
24404001: Ward 1,40.855448727304456
24404002: Ward 2,42.04191783116295
24404003: Ward 3,42.24182907802233
24404004: Ward 4,39.68556306770483
24404005: Ward 5,42.53739454658143
24404006: Ward 6,40.80800407189776
24404007: Ward 7,39.0890912573366
24404008: Ward 8,32.84788298303264
24404009: Ward 9,31.769072081308124
24404010: Ward 10,38.11494559488906
24404011: Ward 11,38.12893752633603
24404012: Ward 12,38.77747580458554
24404013: Ward 13,37.40476786679024
24404014: Ward 14,38.50662036566526
24404015: Ward 15,43.069633150150544
24404016: Ward 16,39.89455669299401
24404017: Ward 17,45.79629993802643
29200001: Ward 1,21.046893874251293
29200002: Ward 2,25.60660863436344
29200003: Ward 3,15.875654675729908
29200004: Ward 4,7.631441478322256
29200005: Ward 5,27.59519365735221
29200006: Ward 6,24.16456187364081
29200007: Ward 7,27.218396729876297
29200008: Ward 8,26.61116305082781
29200009: Ward 9,17.635534570449035
29200010: Ward 10,20.03145330605986
29200011: Ward 11,25.321960946443504
29200012: Ward 12,25.484999279312134
29200013: Ward 13,25.129305522500285
29200014: Ward 14,24.874668026956638
29200015: Ward 15,15.66303964609346
29200016: Ward 16,16.497262269664795
29200017: Ward 17,27.197633043194646
29200018: Ward 18,9.137056200682132
29200019: Ward 19,18.376506919129955
29200020: Ward 20,23.978423872016048
29200021: Ward 21,21.639151973932805
29200022: Ward 22,22.64300480872783
29200023: Ward 23,21.8181151902672
29200024: Ward 24,27.978947172658014
29200025: Ward 25,22.48529193131293
29200026: Ward 26,29.728621178637614
29200027: Ward 27,8.956228164111213
29200028: Ward 28,16.24395031067685
29200029: Ward 29,18.99093147942194
29200030: Ward 30,25.01317181929989
29200031: Ward 31,18.706355355479353
29200032: Ward 32,34.03870464472839
29200033: Ward 33,31.684076434174788
29200034: Ward 34,26.867857595119894
29200035: Ward 35,17.746890723849
29200036: Ward 36,26.327802753473247
29200037: Ward 37,16.206731715002032
29200038: Ward 38,30.459413792840124
29200039: Ward 39,21.76050986571503
29200040: Ward 40,29.243680423038914
29200041: Ward 41,20.357656030200697
29200042: Ward 42,25.019714514305157
29200043: Ward 43,22.817577995266404
29200044: Ward 44,19.665826232278015
29200045: Ward 45,23.774450382018046
29200046: Ward 46,16.29097306522583
29200047: Ward 47,16.427072181658353
29200048: Ward 48,23.84753236507067
29200049: Ward 49,32.963083913997956
29200050: Ward 50,25.849813057774533
29300001: Ward 1,9.545446691418595
29300002: Ward 2,11.182893255397364
29300003: Ward 3,7.9558996200488625
29300004: Ward 4,22.204096391480494
29300005: Ward 5,14.295917228460137
29300006: Ward 6,6.154994088690862
29300007: Ward 7,11.019334870636001
29300008: Ward 8,6.487103472774249
29300009: Ward 9,6.34354566088185
29300010: Ward 10,14.438054802056351
29300011: Ward 11,13.227212708851386
29300012: Ward 12,10.352383858125425
29300013: Ward 13,20.17118391899636
29300014: Ward 14,20.576659651555836
29300015: Ward 15,22.932191513908496
29300016: Ward 16,24.27857711273673
29300017: Ward 17,24.10250721353568
29300018: Ward 18,23.26096466973966
29300019: Ward 19,23.559374050870986
29300020: Ward 20,22.425045683625566
29300021: Ward 21,22.098890371464435
29300022: Ward 22,22.78062214892853
29300023: Ward 23,20.985215101160048
29300024: Ward 24,22.5938433135838
29300025: Ward 25,21.752582831935516
29300026: Ward 26,22.21077384219549
29300027: Ward 27,23.349972487744584
29300028: Ward 28,21.61682360153399
29300029: Ward 29,15.42999885631665
29300030: Ward 30,19.36704423961876
29300031: Ward 31,15.161216820497172
29300032: Ward 32,18.86035895230209
29300033: Ward 33,21.592395225785292
29300034: Ward 34,16.696541756583375
29300035: Ward 35,16.032271284442196
29300036: Ward 36,17.368635616773616
29300037: Ward 37,20.079592360707547
29300038: Ward 38,21.623780412553643
29300039: Ward 39,7.732392161148246
29300040: Ward 40,15.168863420003
29300041: Ward 41,20.658233501376948
29300042: Ward 42,24.858621993142556
29300043: Ward 43,23.26174367256759
29300044: Ward 44,23.382079060861976
29300045: Ward 45,21.627367685475935
29300046: Ward 46,20.39038088744538
29300047: Ward 47,23.25889213974046
29300048: Ward 48,16.074256765460845
29300049: Ward 49,14.95607203509732
29300050: Ward 50,22.55077900338774
29300051: Ward 51,8.35397028207787
29300052: Ward 52,11.89584095636184
29300053: Ward 53,13.77028062788789
29300054: Ward 54,24.306831521685826
29300055: Ward 55,24.44036719797015
29300056: Ward 56,23.386217123999547
29300057: Ward 57,22.864403113494998
29300058: Ward 58,20.748104166562875
29300059: Ward 59,15.186948925150745
29300060: Ward 60,16.812991446553127
10101001: Ward 1,15.196398900869408
10101002: Ward 2,13.374221443405071
10101003: Ward 3,19.618602004219753
10101004: Ward 4,17.029651930623697
10101005: Ward 5,10.520868740081713
10101006: Ward 6,17.193732627313313
10101007: Ward 7,12.736271748934929
10101008: Ward 8,13.604058219012643
10102001: Ward 1,18.125966295217708
10102002: Ward 2,13.975233523010836
10102003: Ward 3,15.98502492811798
10102004: Ward 4,14.490942122168159
10102005: Ward 5,12.03125722052005
10102006: Ward 6,18.13121858201732
10103001: Ward 1,11.694610378620666
10103002: Ward 2,20.418446264535927
10103003: Ward 3,11.650102910623387
10103004: Ward 4,17.49248567738742
10103005: Ward 5,15.083884884168318
10103006: Ward 6,8.81108416786095
10103007: Ward 7,12.010975311326433
10104001: Ward 1,17.40648634466976
10104002: Ward 2,16.76575533484684
10104003: Ward 3,12.114845865669693
10104004: Ward 4,17.13738777486086
10104005: Ward 5,7.112939271873233
10104006: Ward 6,9.331425798406723
10104007: Ward 7,15.823990780414162
10104008: Ward 8,6.483050050975318
10104009: Ward 9,15.603307089985966
10104010: Ward 10,8.701350505065445
10104011: Ward 11,9.922738115690384
10104012: Ward 12,18.492124191034247
10104013: Ward 13,11.007465311365207
10105001: Ward 1,14.594199246921892
10105002: Ward 2,13.181961569657622
10105003: Ward 3,13.203719300513612
10105004: Ward 4,15.957114184733296
10105005: Ward 5,10.595474668119088
10105006: Ward 6,14.826791031144056
10105007: Ward 7,16.0532422791559
10105008: Ward 8,9.545923977372478
10105009: Ward 9,19.62499652956531
10105010: Ward 10,8.450518626921784
10105011: Ward 11,16.43522675640601
10105012: Ward 12,14.334481478836034
10202001: Ward 1,22.780209599704534
10202002: Ward 2,13.825934336898728
10202003: Ward 3,12.809694162428153
10202004: Ward 4,13.516662493225644
10202005: Ward 5,11.858527186280098
10202006: Ward 6,17.422794139449643
10202007: Ward 7,15.094262510242844
10202008: Ward 8,13.712630366257498
10202009: Ward 9,12.068070495459267
10202010: Ward 10,17.68843194533133
10202011: Ward 11,16.18582512372206
10202012: Ward 12,15.435280333675557
10203001: Ward 1,13.925968059855652
10203002: Ward 2,7.264038302072573
10203003: Ward 3,15.657292683711805
10203004: Ward 4,8.800611968167468
10203005: Ward 5,19.07008894313139
10203006: Ward 6,22.71741508679613
10203007: Ward 7,15.388728778508355
10203008: Ward 8,21.13242458594983
10203009: Ward 9,23.507723878014435
10203010: Ward 10,15.61575788897858
10203011: Ward 11,15.065615278157034
10203012: Ward 12,22.817114863867452
10203013: Ward 13,16.856294994689883
10203014: Ward 14,20.08646938001479
10203015: Ward 15,6.351660888367209
10203016: Ward 16,27.46597012948148
10203017: Ward 17,11.938319584641198
10203018: Ward 18,13.31004965729873
10203019: Ward 19,10.124562404056988
10203020: Ward 20,15.505739502019258
10203021: Ward 21,19.910262961483088
10203022: Ward 22,11.751486285529593
10203023: Ward 23,13.014021310321041
10203024: Ward 24,20.837754362568706
10203025: Ward 25,16.17841562354529
10203026: Ward 26,15.2118232363076
10203027: Ward 27,19.03987160529997
10203028: Ward 28,12.821981078531186
10203029: Ward 29,11.21778116967066
10203030: Ward 30,18.18221700322652
10203031: Ward 31,15.898566948105648
10204001: Ward 1,16.379518549376957
10204002: Ward 2,19.93218359272378
10204003: Ward 3,13.747792986435382
10204004: Ward 4,12.214870485648168
10204005: Ward 5,14.818713399914548
10204006: Ward 6,13.01305923241608
10204007: Ward 7,17.063588826136396
10204008: Ward 8,14.381158875568671
10204009: Ward 9,18.60873299309042
10204010: Ward 10,21.19756091066564
10204011: Ward 11,14.20836887805062
10204012: Ward 12,25.020318912936077
10204013: Ward 13,16.785119663443414
10204014: Ward 14,26.172564129628217
10204015: Ward 15,24.819686258781967
10204016: Ward 16,18.122230530012626
10204017: Ward 17,9.929813423133595
10204018: Ward 18,18.775481244831887
10204019: Ward 19,14.758100363607866
10204020: Ward 20,13.256497570951291
10204021: Ward 21,8.460595695304958
10204022: Ward 22,8.026983378428485
10205001: Ward 1,17.40724637073091
10205002: Ward 2,20.143307618688723
10205003: Ward 3,21.303089956021648
10205004: Ward 4,19.88657381837658
10205005: Ward 5,14.985558572131247
10205006: Ward 6,10.038388733807551
10205007: Ward 7,9.57879524656817
10205008: Ward 8,18.769190356637537
10205009: Ward 9,16.806495731207768
10205010: Ward 10,17.49179121697181
10205011: Ward 11,15.300828857396276
10205012: Ward 12,13.478384475505022
10205013: Ward 13,14.1632107679646
10205014: Ward 14,14.76882262849882
10205015: Ward 15,8.846854305351519
10205016: Ward 16,23.466478627603877
10205017: Ward 17,25.002298975867635
10205018: Ward 18,21.196409807341375
10205019: Ward 19,18.229152417434115
10205020: Ward 20,17.19679902405484
10205021: Ward 21,18.82690825776787
10206001: Ward 1,11.76006121985348
10206002: Ward 2,14.24243529264864
10206003: Ward 3,15.662317755512392
10206004: Ward 4,20.902847915543706
10206005: Ward 5,12.999736427740194
10206006: Ward 6,13.37546690624167
10206007: Ward 7,11.298501938792732
10206008: Ward 8,12.606005744044822
10206009: Ward 9,14.461431631833415
10206010: Ward 10,25.12979746259557
10206011: Ward 11,13.54967770682839
10206012: Ward 12,16.803518312771654
10304001: Ward 1,11.100422948786402
10304002: Ward 2,13.318570054840201
10304003: Ward 3,13.92128516688662
10304004: Ward 4,10.886548676107221
10304005: Ward 5,18.136205077493
10301001: Ward 1,13.60582207639563
10301002: Ward 2,17.548618143527467
